patent_id,title,authors,abstract,detail_url,application_no,publication_no,registration_no,application_date,publication_date,registration_date,ipc,pdf_links,score,matched_keywords
P54481,放射線検出装置、放射線検出方法、放射性微粒子検出装置,"坪田 陽一 ; Laffolley, H. ; 佐川 直貴 ; 中村 博樹 ; 鈴木 政浩; not registered",【課題】β線を検出する際に、γ線を弁別できる放射線検出装置を得る。 【解決手段】まず、一定時間内における放射線検出器10の測定結果(検出結果)が得られ(S11:測定工程)、この結果が記憶部に記憶される。発光の検出が認められた画素の連続体として検出パターンが複数認識される(S13:検出パターン認識工程)。まず、一つの検出パターンが選択され、これに含まれる画素における出力(パルス高)の和から、この検出パターン中で吸収されたエネルギーが算出される(S14)。解析部31は、このエネルギーと、前記のように検出パターンから算出された特徴量((「広がり」、「かたさ」、「離心率」)から、この検出パターンがα線、β線、γ線のどれによって形成されたかを判定する(S15:識別工程)。,https://jopss.jaea.go.jp/search/servlet/search?P54481,2024-176933,2026-067469,,2024/10/09,2026/04/21,,G01T 1/167(2006.01):G01T 1/36 (2006.01):G01T 1/24 (2006.01):G01T 1/20 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54481A.pdf,14,"パターン認識, 特徴量, 認識, 識別"
P53940,海洋ロボットの制御装置、海洋ロボット、海洋ロボットの制御方法、および海洋ロボットの制御プログラム,眞田 幸尚; 田原 淳一郎* ; 藤井 竣* ; 馬場尚一郎*,【課題】外乱が大きい場合であっても、海洋ロボットの位置を精度よく保持すること。 【解決手段】第1の推進器および第2の推進器を有する推進機構を備える海洋ロボットを制御する制御装置であって、海洋ロボットの目標位置および現在位置を含む位置情報を取得する情報取得部と、位置情報に基づいて切換関数を生成し、海洋ロボットの現在位置が目標位置に一致するようにスライディングモード制御を行うためのスライディングモード制御値を生成するスライディングモード制御部と、位置情報および切換関数に基づいて、海洋ロボットの現在位置が目標位置に一致するようにニューラルネットワーク制御を行うためのニューラルネットワーク制御値を生成するニューラルネットワーク制御部と、スライディングモード制御値およびニューラルネットワーク制御値に基づいて推進機構に入力される制御入力を生成する制御入力生成部とを備える。,https://jopss.jaea.go.jp/search/servlet/search?P53940,2023-179160,2025-068999,,2023/10/17,2025/04/30,,B63H 25/42 (2006.01):B63J 99/00 (2009.01):B63H 21/21 (2006.01):G05B 13/00 (2006.01):G05D 1/611(2024.01):G05D 1/43 (2024.01),https://jopss.jaea.go.jp/pdfdata/P1/P53940A.pdf,7,"ニューラルネットワーク, ロボット"
P53400,化合物同定方法及び化合物同定装置,阿部 雄太; 川上 智彦* ; 藤本 勝成* ; 横田 裕海*,【課題】未知試料に含まれる金属元素や化合物を分類・推定する方法を提供する。 【解決手段】本発明である化合物同定方法は、想定される化合物種の標準試料についてスペクトルデータを因子分解して因子及び前記因子の影響度を表す因子スコアを導出し、前記化合物種を決定木において前記因子スコアで分類するためのスコア閾値及び前記因子スコアを前記決定木にかける因子適用順を予め学習・設定しておき、未知試料のスペクトルデータに対して前記標準試料の因子を用いて前記未知試料における因子スコアを算出し、前記因子適用順にしたがって前記決定木で前記未知試料の因子スコアを前記スコア閾値によって分類していくことにより、前記未知試料に含まれる化合物種を同定する、ことを特徴とする。,https://jopss.jaea.go.jp/search/servlet/search?P53400,2022-057807,2023-149303,7780757,2022/03/31,2023/10/13,2025/11/27,G01N 21/71 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53400A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53400A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53400B.pdf,6,"分類, 学習, 推定"
P54220,RADIATION DETECTION DEVICE,北山 佳治; 人見 啓太朗* ; 野上 光博*,"A radiation detection device is provided that is wide in visual field, wide in application range of radiation energy, and which is smaller and lighter in weight as compared to other devices. The device includes a detecting element group has a plurality of detecting elements that detect radiation are three-dimensionally arranged. The detecting element group has a structure with a depletion formed by removing the detecting element at any position from a virtual detecting element group in which the detecting elements are laid out on any virtual surface. The depletion is provided at a position at which a difference of detected values between one detecting element and another detecting element arranged along any direction exhibits different values in a case where the radiation having the direction as an incident direction enters and a case where the radiation having an opposite direction of the direction as an incident direction enters.",https://jopss.jaea.go.jp/search/servlet/search?P54220,18/410450,US2024/0248219 A1,,2024/01/11,2024/07/25,,G01T 1/29 (2006.01):G01T 7/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54220A.pdf,5,ai
P54005,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54005,23874741.4,WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54005A.pdf,5,ai
P54004,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54004,"19/115,022",WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54004A.pdf,5,ai
P54006,CARBON STRUCTURE,勅使河原 誠 ; 猿田 晃一; 村松 一生* ; 池田 裕二郎* ; 大竹 淑恵* ; 岩田 英里* ; 高橋 一馬* ; 須谷 康一*,"Provided is a carbon structure having a three-dimensional shape containing nano-carbon structures, wherein the nano-carbon structures have at least one structure from among a petal-like structure, in which flaky carbon having a graphene framework and a thickness of less than 20 nm is fixed in a petal-like shape, and an uneven structure formed by a collection of seed-like structures having a size of 1 to 100 nm. The carbon structure has favorable shapability and excellent durability in high radiation fields, and is effective as a reflective material for cold neutrons and very cold neutrons, the reflective material being capable of increasing the strength of the cold neutrons and very cold neutrons by coherent scattering.",https://jopss.jaea.go.jp/search/servlet/search?P54006,202380067536.2,WO 2024/075614,,2023/09/27,2024/04/11,,C01B 32/15(2017.01):G01N 23/02(2006.01):G01N 23/05(2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P54006A.pdf,5,ai
P53464,中性子検出器,"伊藤 史哲 ; Lee, J. ; 弘中 浩太 ; 小泉 光生; not registered","To obtain a neutron detector capable of measuring high dose neutrons with high neutron/gamma-ray discrimination ability and high efficiency. A scintillator 10 has a layered structure in which a phosphor layer 11 and a light transmission layer 12 are alternatelylaminatedin z direction. The phosphor layer 11 is made of a phosphor material emitting fluorescent light by absorbing neutrons, the material being, for example, a scintillator material used in neutron detectors having alreadybeen known. The light transmission layer 12 is made of a material highly transmitting fluorescent light emitted by the phosphor materialand only slightlyabsorbingneutrons. In the scintillator 10, when neutrons and gamma-ray photons enter it, luminescence intensity (pulse height) due to neutrons is significantly different from that due to gamma-ray photons. It makes it easy to discriminate between outputs due to the two kinds of radiations.",https://jopss.jaea.go.jp/search/servlet/search?P53464,18/086818,2023/0228890,12196899,2022/12/22,2023/07/20,2025/01/14,G01T 3/06 (2006.01):G01T 3/02 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53464A.pdf | https://jopss.jaea.go.jp/pdfdata/P1/P53464A.pdf | https://jopss.jaea.go.jp/pdfdata/P2/P53464B.pdf,5,ai
P53263,電子デバイス、その製造方法及びその使用方法,家田 淳一; 竹内 祐太朗* ; 深見 俊輔* ; 山根 結太* ; Yoon J.-Y.* ; 陣内 佛霖* ; 金井 駿* ; 大野 英男*,"The purpose of the present invention is to provide a digital device for which an external magnetic field in unnecessary, which can be used as a memory element and random number generation element capable of outputting a comparatively large reading signal, and which can also be used as an oscillation/detection element having output/input frequency variability. Provided is a digital device characterized by comprising a main body, an input terminal, and an output terminal, wherein: the main body is configured by laminating a spin torque generation layer and a non-collinear antiferromagnetic layer in this order on a substrate, or in the reverse order in the stacking direction; the input terminal is disposed on both ends in an arbitrary direction parallel to the lamination surface of the spin torque generation layer; and the non-collinear antiferromagnetic layer has a non-collinear magnetic order in the plane formed by the arbitrary direction and the stacking direction.",https://jopss.jaea.go.jp/search/servlet/search?P53263,111110073,202244923,I922630,2022/03/18,2022/11/16,2026/04/21,G11C 11/16 (2006.01):G11C 11/02 (2006.01):H01L 43/00 (2006.01),https://jopss.jaea.go.jp/pdfdata/P1/P53263A.pdf,5,ai
P53228,液液系多段装置及びそれを用いた特定物質の製造方法,長縄 弘親 ; 永野 哲志 ; 鈴木 英哉; not registered,"DISPOSITIVO DE MULTIPLOS ESTAGIOS DE TIPO LIQUIDO-LIQUIDO E METODO DE PRODUCAO DE SUBSTANCIAS ESPECIFICAS QUE USA O MESMO. A presente invencao refere-se a dispositivo de multiplos estagios usado em um sistema de liquido-liquido que compreende duas fases liquidas que nao se misturam, no qual a posicao da interface (interface liquido-liquido) de uma fase liquida pesada e de uma fase liquida leve nao flutua ou e mesmo suprimida e um metodo de producao de uma substancia especifica que usa o mesmo. Um dispositivo que tem um corpo conectado de uma pluralidade de recipientes adjacentes ou dois ou mais estagios instalados em um recipiente de peca unica no qual uma pluralidade de divisorias e colocada dentro do mesmo, e um metodo de producao de uma substancia especifica que usa o mesmo. ・・・",https://jopss.jaea.go.jp/search/servlet/search?P53228,BR102022005725-7,BR102022005725-7,,2022/03/25,2022/10/25,,B01D 11/04,https://jopss.jaea.go.jp/pdfdata/P1/P53228A.pdf,5,ai
